image_url,review_count,rating_stars,url,postal_code,phone,address_locality,date_created,price_range,hours_range,street_address
,,,http://www.yelp.de/adredir?ad_business_id=DXVtKFvt-4UECrQ8WKlOSA&placement=above_search&redirect_url=http%3A%2F%2Fwww.yelp.de%2Fbiz%2Ffamiliencaf%25C3%25A9-kunterbunt-berlin&request_id=d536ea577bd853dc&signature=eb1c701ae9649480c5f57f38098dd0168de2b5df3139268c2f8f6b7ed5202d4f&slot=0&click_origin=search_results,,,,2015-12-18 02:51:37.075625,,,
"http://s3-media1.fl.yelpcdn.com/bphoto/0HjDIlC7oIuf1ZifP7G7Sg/ls.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/jvHf5IXxjSGqr89fLDSN5w/ls.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/QxprknlZSLge6-Irekf_Rw/ls.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/i_1onpIJbnvWO4qZV8H4JA/180s.jpg,http://s3-media4.fl.yelpcdn.com/bphoto/FVqzzEh3KUt32pxlaGuSlA/180s.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/plsX7EbGkera7eUC_6GJ5g/180s.jpg",8,3.5 Sterne,http://www.yelp.de/biz/mcdonalds-berlin-87,10317,"
        030 51061114
    ",Berlin,2015-12-18 02:51:42.478802,Unter 10 €,"09:00, - ,00:00",Weitlingstr. 22
"http://s3-media4.fl.yelpcdn.com/bphoto/qZtpjMBwfwofG54QabwuLw/ls.jpg,http://s3-media4.fl.yelpcdn.com/bphoto/h--1mwb6P6nWdXiavx2SXA/ls.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/IAfr6GhRkN_y5iYZP6dj9g/ls.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/5pGXYD_iFl606wLDwwxIGQ/180s.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/4LqJkQMwFNArcJtrGSaBSg/180s.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/csSIwu3a299ZgogpgTpqHw/180s.jpg",13,3.0 Sterne,http://www.yelp.de/biz/mcdonalds-berlin-32,10178,"
        030 24628356
    ",Berlin,2015-12-18 02:51:45.996768,11-20 €,24 Stunden geöffnet,U-Alexanderplatz 1
"http://s3-media1.fl.yelpcdn.com/bphoto/9wGel5CERVEJh6nionyehQ/ls.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/oEtbBp4U9z4FJX40Bs4nsA/ls.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/j-Gszcje-epM3E_UHFsI5g/ls.jpg,http://s3-media4.fl.yelpcdn.com/bphoto/890RgOkicQF1WzbnhmPaAw/180s.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/VzEkjwe9QmuE-0njBWo5Lw/180s.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/w71t6D7sKG78b5jbJCCHRQ/180s.jpg",19,3.5 Sterne,http://www.yelp.de/biz/mcdonalds-berlin-26,12107,,Berlin,2015-12-18 02:51:52.809956,Über 41 €,"07:00, - ,03:00",Großbeerenstr. 22
"http://s3-media2.fl.yelpcdn.com/bphoto/RdS8wNmW0REwz4iGP-Jhng/ls.jpg,http://s3-media4.fl.yelpcdn.com/bphoto/A-evc0Oq1gVRNmLhxk4w8g/ls.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/D96Tyes9tk3bRW7rVhVIJw/ls.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/GjlSPgrU4Yd5aNGkC3pMKw/180s.jpg,http://s3-media4.fl.yelpcdn.com/bphoto/nQKqTZ-Y0RFW00RPLJGdCg/180s.jpg,http://s3-media4.fl.yelpcdn.com/bphoto/VfpiQHBsxupGgxqZ5pEm8g/180s.jpg",12,3.0 Sterne,http://www.yelp.de/biz/mcdonalds-berlin-6,10969,"
        030 21236881
    ",Berlin,2015-12-18 02:51:54.018321,11-20 €,,Friedrichstr. 207
"http://s3-media2.fl.yelpcdn.com/bphoto/i7E9xdpQSFpdoku6zMHCLw/ls.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/D9ty1xqVCVw39AP55wFwYA/ls.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/WeacbYenf9NhWNRRUhXNfA/ls.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/uyZd91UP0Rsy-sZfzXHe8A/180s.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/u3zkMgAeb5d17-PrYKZsyA/180s.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/fxKdtXZNjeIoZGdVxB5IyA/180s.jpg",25,3.0 Sterne,http://www.yelp.de/biz/mcdonalds-berlin-7,10437,"
        030 44008030
    ",Berlin,2015-12-18 02:51:56.831693,Unter 10 €,24 Stunden geöffnet,Schönhauser Allee 120
"http://s3-media2.fl.yelpcdn.com/bphoto/4p4hNAwwaia64yusRUJyrw/ls.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/GQbEIFrTBKDYAhAqJ6JW_A/ls.jpg",13,3.5 Sterne,http://www.yelp.de/biz/mcdonalds-berlin-78,10178,"
        030 24085828
    ",Berlin,2015-12-18 02:52:00.371775,Unter 10 €,"09:00, - ,23:00","Alexa,Grunerstr. 20"
"http://s3-media3.fl.yelpcdn.com/bphoto/DQ-lhhf9Vrls_xUdLJtaUw/ls.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/RDmMQoKBYBDbhhnRM3EKag/ls.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/SC5jp2TEzdPRWPdUrTwtRg/ls.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/Hma5ocJocYEWHvoljxGHeg/180s.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/bzVmOLHb39H_bNT5O96zgw/180s.jpg,http://s3-media4.fl.yelpcdn.com/bphoto/eTTa7wvlBnAYx_4MsARrrA/180s.jpg",14,3.0 Sterne,http://www.yelp.de/biz/mcdonalds-berlin-89,10178,"
        030 2415889
    ",Berlin,2015-12-18 02:52:05.056444,11-20 €,"08:00, - ,06:00",Karl-Liebknecht-Str. 13
"http://s3-media2.fl.yelpcdn.com/bphoto/LNdO7X1-CcnIxSJsC0BUZg/ls.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/rzXjaOywUJDhBEYtEyupJQ/ls.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/1oD8kF-7Aql12Pfy89ZjLg/ls.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/-P0Q9o7a5PJQamhl7prPjw/180s.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/KExwXQgofUptZUKRYK14Gg/180s.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/luoGtjLmjIzjk74JeAJyUQ/180s.jpg",17,3.5 Sterne,http://www.yelp.de/biz/mcdonalds-berlin-53,10789,"
        030 21016077
    ",Berlin,2015-12-18 02:52:09.643154,11-20 €,"08:00, - ,06:00",Tauentzienstr. 18
"http://s3-media2.fl.yelpcdn.com/bphoto/3mK_r7Ft8jjnSK4Lgdqxrg/ls.jpg,http://s3-media4.fl.yelpcdn.com/bphoto/mjW3ReQ5GSaRvsVUa3gopw/ls.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/JXigWcC2HuV8q1EuXjz-Eg/ls.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/7h2LKu0bhP5Te_n1ku6alg/180s.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/A7JpVlq7XcT6hfaIEzAWZg/180s.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/twJKYnP9cPGm9492ohWmjA/180s.jpg",28,4.0 Sterne,http://www.yelp.de/biz/mcdonalds-berlin-60,12103,"
        030 76008712
    ",Berlin,2015-12-18 02:52:16.573245,11-20 €,"12:00, - ,00:00",Alboinstr. 4
"http://s3-media4.fl.yelpcdn.com/bphoto/NSd23zAOOu-JUXbLYafWXg/ls.jpg,http://s3-media4.fl.yelpcdn.com/bphoto/29o9qPhe16cJTUvPh-mexQ/ls.jpg,http://s3-media4.fl.yelpcdn.com/bphoto/9Wc3NhnI1Tksq5TmCBNChA/ls.jpg,http://s3-media4.fl.yelpcdn.com/bphoto/Z84QJ_QPZOVTC3VGmmLVGA/180s.jpg,http://s3-media4.fl.yelpcdn.com/bphoto/9W3WecTEavo0IgGsNs_Exg/180s.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/dDYYH3SlaYQRpqgnP33_nw/180s.jpg",32,3.0 Sterne,http://www.yelp.de/biz/mcdonalds-berlin-59,10557,"
        030 21234246
    ",Berlin,2015-12-18 02:52:18.580998,21-40 €,24 Stunden geöffnet,Europaplatz 1
